id,country_id,region_id,name,iso_code
9089,250,374,Saint-Vincent-en-Bresse,icb
9090,250,385,Saint-Vincent-Rive-d'Olt,wsr
9091,250,375,Saint-Vincent-sur-Oust,vot
9092,250,379,Saint-Vit,sit
9093,250,389,Saint-Vivien,ien
9094,250,371,Saint-Vivien-de-Blaye,wvd
9095,250,371,Saint-Vivien-de-Médoc,sv5
9096,250,,Saint-Vivien-de-Medoc,zhw
9097,250,371,Saint-Vivien-de-Monségur,982
9098,250,375,Saint-Vougay,vug
9099,250,,Saint-Vran,vna
9100,250,391,Saint-Vulbas,svb
9101,250,380,Saint-Wandrille-Rançon,swd
9102,250,381,Saint-Witz,saw
9103,250,374,Saint-Yan,sty
9104,250,372,Saint-Yorre,sja
9105,250,383,Saint-Yrieix-la-Perche,syp
9106,250,389,Saint-Yrieix-sur-Charente,sxc
9107,250,374,Saint-Ythaire,yh8
9108,250,375,Saint-Yvy,yvy
9109,250,371,Saint-Yzans-de-Medoc,sy2
9110,250,376,Sainville,ivi
9111,250,389,Saix,sxj
9112,250,391,Salaise-sur-Sanne,sal
9113,250,376,Salbris,sxs
9114,250,390,Salernes,sas
9115,250,388,Saleux,sux
9116,250,371,Salies-de-Béarn,ali
9117,250,371,Salignac,aqn
9118,250,389,Salignac-sur-Charente,gxn
9119,250,390,Salin-de-Giraud,sdg
9120,250,382,Salindres,sai
9121,250,390,Salinelles,iel
9122,250,379,Salins-les-Bains,ins
9123,250,391,Sallanches,scs
9124,250,386,Sallaumines,sum
9125,250,371,Salleboeuf,ebo
9126,250,382,Sallèles-Cabardès,rxs
9127,250,382,Sallèles-d'Aude,sud
9128,250,387,Sallertaine,s9a
9129,250,371,Salles,sll
9130,250,391,Salles-Arbuissonnas-en-Beaujolais,lb4
9131,250,385,Salles-Courbatiès,acb
9132,250,389,Salles-d'Angles,sne
9133,250,382,Salles-d'Aude,eed
9134,250,389,Salles-Lavalette,yzy
9135,250,390,Salon-de-Provence,sdp
9136,250,382,Salses-le-Château,sac
9137,250,382,Salsigne,sgn
9138,250,385,Salvagnac,vgc
9139,250,385,Salviac,sia
9140,250,376,Sambin,s8b
9141,250,386,Samer,smq
9142,250,389,Sammarçolles,amm
9143,250,381,Sammeron,sko
9144,250,391,Samoëns,oen
9145,250,381,Samois-sur-Seine,qso
9146,250,371,Samonac,szo
9147,250,381,Samoreau,smw
9148,250,374,Sampigny-les-Maranges,xgm
9149,250,390,Sanary-sur-Mer,ynr
9150,250,374,Sancé,snq
9151,250,376,Sancerre,srr
9152,250,379,Sancey-le-Grand,yga
9153,250,379,Sancey-le-Long,ylg
9154,250,376,Sancheville,sve
9155,250,,Sancoins,sni
9156,250,376,Sandillon,s2d
9157,250,380,Sandouville,snv
9158,250,381,Sandrancourt,sqv
9159,250,386,Sangatte,sxg
9160,250,371,Sanguinet,agi
9161,250,378,San-Nicolao,hcb
9162,250,381,Sannois,snw
9163,250,372,Sansac-de-Marmiesse,mqm
9164,250,,Santec,se3
9165,250,374,Santenay,tay
9166,250,381,Santeny,syv
9167,250,386,Santes,yzf
9168,250,379,Santoche,qts
9169,250,385,Sanvensa,rgv
9170,250,374,Sanvignes-les-Mines,vgm
9171,250,379,Saone,sak
9172,250,384,Sapois,sis
9173,250,376,Saran,srn
9174,250,381,Sarcelles,src
9175,250,377,Sarcy,ycc
9176,250,376,Sargé-sur-Braye,sbw
9177,250,371,Sarlande,sd3
9178,250,371,Sarlat-la-Canéda,slc
9179,250,385,Sarp,szp
9180,250,385,Sarragachies,gxg
9181,250,384,Sarralbe,rrb
9182,250,384,Sarraltroff,srf
9183,250,385,Sarrancolin,xsn
9184,250,391,Sarras,rrp
9185,250,384,Sarrebourg,sbg
9186,250,384,Sarreguemines,sar
9187,250,384,Sarreinsming,ssg
9188,250,370,Sarre-Union,rni
9189,250,370,Sarrewerden,swe
9190,250,390,Sarrians,srs
9191,250,378,Sarrola-Carcopino,sro
9192,250,386,Sars-et-Rosieres,zkp
9193,250,381,Sartrouville,svl
9194,250,375,Sarzeau,ysz
9195,250,374,Sassangy,yyg
9196,250,376,Sassay,s3s
9197,250,391,Sassenage,sss
9198,250,376,Sassierges-Saint-Germain,ass
9199,250,391,Satolas-et-Bonce,sbq
9200,250,382,Saturargues,rus
9201,250,371,Saubusse,ubs
9202,250,371,Saucats,sc5
9203,250,377,Saudoy,oyy
9204,250,372,Saugues,agg
